"Uniprot ID","Symbol","Protein Intensity","Z-Score"
"Q8TD30","GPT2","4.192","1.27359"
"P48047","ATP5PO","8.75645","1.2731"
"P62841","RPS15","4.43575","1.27265"
"O15119","TBX3","2.49046","1.27089"
"P31930","UQCRC1","8.07894","1.26989"
"P56556","NDUFA6","6.06731","1.26954"
"Q96S19","METTL26","3.22748","1.26912"
"Q8WW59","SPRYD4","4.44493","1.26823"
"O94964","SOGA1","5.05188","1.26795"
"P38606","ATP6V1A","6.66366","1.26771"
"P23229","ITGA6","7.20628","1.26678"
"Q9UI09","NDUFA12","4.17383","1.26659"
"O60885","BRD4","3.76216","1.26518"
"Q8NHG7","SVIP","3.80596","1.26484"
"P13667","PDIA4","8.59723","1.26476"
"P78537","BLOC1S1","2.94935","1.26425"
"Q9NPH2","ISYNA1","5.92741","1.26337"
"Q92805","GOLGA1","3.02616","1.26285"
"P53367","ARFIP1","3.94018","1.26269"
"Q8TCC3","MRPL30","4.98965","1.26188"
"Q8IZ81","ELMOD2","3.5437","1.26165"
"Q9BU19","ZNF692","3.56765","1.25868"
"O75843","AP1G2","3.55366","1.25751"
"O43598","DNPH1","6.22136","1.25695"
"Q9H7U1","CCSER2","4.98922","1.25653"
"Q9H479","FN3K","3.0251","1.25387"
"Q9BR76","CORO1B","6.22412","1.25301"
"Q9H063","MAF1","1.62397","1.25297"
"Q5HYI8","RABL3","4.77811","1.25291"
"Q9Y4D1","DAAM1","3.69252","1.25198"
"Q9NQE9","HINT3","2.76822","1.24811"
"Q9UDX5","MTFP1","2.78474","1.24659"
"Q86WA6","BPHL","4.07706","1.24518"
"P43358","MAGEA4","6.15178","1.24328"
"P20061","TCN1","4.73144","1.24218"
"Q92572","AP3S1","4.37976","1.24149"
"P62256","UBE2H","3.33404","1.23956"
"Q7Z745","MROH2B","4.44984","1.23887"
"Q5JU69","TOR2A","3.64259","1.23867"
"P61009","SPCS3","6.41731","1.23865"
"P84101","SERF2","4.61395","1.23797"
"Q9NVV4","MTPAP","4.16954","1.23455"
"Q6DKK2","TTC19","3.31511","1.23421"
"Q9Y2Q9","MRPS28","6.30458","1.23279"
"P07741","APRT","6.84396","1.23266"
"P27797","CALR","9.59557","1.23265"
"P50453","SERPINB9","5.78241","1.22925"
"Q9H9J2","MRPL44","4.60376","1.22913"
"O15126","SCAMP1","3.54263","1.22855"
"Q9UJX3","ANAPC7","3.02948","1.22849"
"Q8NFU3","TSTD1","6.59055","1.22818"
"O43674","NDUFB5","3.80846","1.22583"
"Q9UQ35","SRRM2","7.03353","1.22579"
"Q969R2","OSBP2","3.27095","1.22572"
"Q8N2G8","GHDC","3.80939","1.22463"
"O75448","MED24","2.62868","1.224"
"O75676","RPS6KA4","3.37903","1.22165"
"Q99622","C12orf57","4.00475","1.22104"
"Q9Y4L1","HYOU1","8.00292","1.22098"
"Q6ZSJ8","C1orf122","3.1581","1.22091"
"P25815","S100P","7.70079","1.22006"
