dataset_id,id,model_id,gene_id,read_count,fpkm,tpm,data_source,dataset_name,model_name,symbol
15,97813243,SIDM00499,SIDG09497,594,0.78,2.83,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD4A
15,97813244,SIDM00499,SIDG09498,330,0.54,1.96,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD4B
15,97813245,SIDM00499,SIDG09499,401,1.04,3.78,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD5
15,97813246,SIDM00499,SIDG09500,634,1.1,4.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD6
15,97813247,SIDM00499,SIDG09501,40,0.29,1.05,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD6-AS1
15,97813250,SIDM00499,SIDG09504,1817,7.25,26.34,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMD8
15,97813252,SIDM00499,SIDG09506,125,0.35,1.27,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMPD1
15,97813253,SIDM00499,SIDG09507,127,0.26,0.94,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMPD2
15,97813255,SIDM00499,SIDG09509,190,0.34,1.24,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMPD3
15,97813257,SIDM00499,SIDG09511,0,0.0,0.0,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRMPD4
15,97813259,SIDM00499,SIDG09513,1367,5.77,20.96,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRRS1
15,97813260,SIDM00499,SIDG09514,5,0.01,0.04,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRRS1L
15,97813261,SIDM00499,SIDG09515,4122,9.29,33.75,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRS2
15,97813262,SIDM00499,SIDG09516,334,1.91,6.94,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRS3
15,97813263,SIDM00499,SIDG09520,2345,2.08,7.56,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRY
15,97813265,SIDM00499,SIDG09522,8372,7.53,27.36,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRYL
15,97813266,SIDM00499,SIDG09523,34,0.18,0.65,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FRZB
15,97813269,SIDM00499,SIDG09526,454,2.01,7.3,Broad,Sanger & Broad Cell Lines RNASeq,22RV1,FSCN1
