,source,target,Confidence Value,width
554,ANLN,APEX1,0.63,1
555,ANLN,KIF23,0.63,1
556,APEX1,SUMO1,0.63,1
557,APEX1,NXF1,0.63,1
558,APEX1,KIF23,0.63,1
559,APEX1,WDR5,0.63,1
560,APEX1,CDC42,0.56,1
561,RB1,SUMO1,0.65,1
562,MCM3AP,CDC42,0.63,1
563,MCM3AP,NXF1,0.63,1
564,KIF23,NXF1,0.63,1
565,KIF23,WDR5,0.63,1
566,KIF23,CTNNB1,0.63,1
567,KIF23,CIT,0.63,1
568,CUL3,NXF1,0.72,1
569,CUL3,WDR5,0.72,1
570,CUL3,CTNNB1,0.72,1
571,CUL3,CDC42,0.63,1
572,CUL3,CIT,0.63,1
573,TRIM25,SUMO1,0.63,1
574,TRIM25,HERC2,0.63,1
575,TRIM25,CTNNB1,0.63,1
576,TRIM25,DDRGK1,0.63,1
577,CTNNB1,SUMO1,0.52,1
578,CTNNB1,CDC42,0.63,1
579,CTNNB1,NXF1,0.63,1
580,CTNNB1,HERC2,0.73,1
581,CTNNB1,CBFB,0.63,1
582,CTNNB1,WDR5,0.63,1
583,CTNNB1,CIT,0.63,1
584,HERC2,CDC42,0.63,1
585,HERC2,SUMO1,0.73,1
586,SUMO1,CIT,0.56,1
587,CDC42,DDRGK1,0.63,1
588,NXF1,WDR5,0.63,1
589,WDR5,CIT,0.63,1
590,WDR5,DDRGK1,0.73,1
