,source,target,Confidence Value,width
527,CTNNB1,SQSTM1,0.63,1.0
528,CTNNB1,WDR5,0.63,1.0
529,CTNNB1,CIT,0.63,1.0
530,HERC2,CDC42,0.63,1.0
531,HERC2,SUMO1,0.73,1.0
532,SUMO1,RAC1,0.68,1.0
533,SUMO1,CIT,0.56,1.0
534,RAC1,STAU1,0.67,1.0
535,RAC1,CIT,0.63,1.0
536,RAC1,CDC42,0.88,1.0
537,CDC42,STAU1,0.81,1.0
538,CDC42,DDRGK1,0.63,1.0
539,NXF1,SQSTM1,0.63,1.0
540,NXF1,WDR5,0.63,1.0
541,WDR5,CIT,0.63,1.0
542,WDR5,STAU1,0.63,1.0
543,WDR5,DDRGK1,0.73,1.0
544,DDRGK1,STAU1,0.63,1.0
545,SQSTM1,CIT,0.63,1.0
